2015-09-17 19:07:34,926 [Worker-2] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: WebServiceAppUnivas:WebServiceAppUnivas:1 @ /home/diogenes/TCC/WsUnivas/WebServiceAppUnivas/pom.xml.
2015-09-17 19:07:47,649 [Worker-2] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /WebServiceAppUnivas/src
2015-09-17 19:07:47,650 [Worker-2] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /WebServiceAppUnivas/src/test/java because it overlaps with /WebServiceAppUnivas/src
2015-09-17 19:07:47,735 [Worker-7] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: WebServiceAppUnivas:WebServiceAppUnivas:1 @ /home/diogenes/TCC/WsUnivas/WebServiceAppUnivas/pom.xml.
2015-09-17 19:08:07,962 [Worker-2] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 1 project(s) in 38 sec
2015-09-17 19:08:22,874 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: WebServiceAppUnivas:WebServiceAppUnivas:1 @ /home/diogenes/TCC/WsUnivas/WebServiceAppUnivas/pom.xml.
2015-09-17 19:08:24,534 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-09-17 19:08:24,538 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/diogenes/TCC/WsUnivas/WebServiceAppUnivas/src/main/resources
2015-09-17 19:08:24,541 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-09-17 19:08:24,541 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/diogenes/TCC/WsUnivas/WebServiceAppUnivas/src/test/resources
2015-09-17 19:08:57,915 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
